"d" "K" "m" "cv" "HR" "tau" "censoring" "matrix" "method_correction" "distribution" "delta.rmst" "var" "ci.low" "ci.up" "t_star"
13 10 80 0.6 1 0.001 0.2 "exc" "fg" "z" -4.49513405684108 77.1897603365657 -21.7149274851075 12.7246593714253 365
13 10 80 0.6 1 0.001 0.2 "exc" "fg" "t" -4.49513405684108 77.1897603365657 -24.7551567746883 15.7648886610061 365
13 10 80 0.6 1 0.001 0.2 "exc" "mbn" "z" -4.49513405684108 63.387647500656 -20.0996538384443 11.1093857247621 365
13 10 80 0.6 1 0.001 0.2 "exc" "mbn" "t" -4.49513405684108 63.387647500656 -22.854699552988 13.8644314393058 365
15 10 80 0.6 1 0.001 0.2 "ind" "standard" "z" 0.58641253917934 38.9492946256171 -11.6455992086646 12.8184242870232 365
15 10 80 0.6 1 0.001 0.2 "ind" "md" "z" 0.58641253917934 62.552038881086 -14.9149126142438 16.0877376926025 365
15 10 80 0.6 1 0.001 0.2 "ind" "md" "t" 0.58641253917934 62.552038881086 -17.6517388691623 18.824563947521 365
15 10 80 0.6 1 0.001 0.2 "ind" "kc" "z" 0.58641253917934 49.2675005843975 -13.1707337744093 14.343558852768 365
15 10 80 0.6 1 0.001 0.2 "ind" "kc" "t" 0.58641253917934 49.2675005843975 -15.5996176827938 16.7724427611525 365
15 10 80 0.6 1 0.001 0.2 "ind" "fg" "z" 0.58641253917934 53.0235528316871 -13.6855107625283 14.858335840887 365
15 10 80 0.6 1 0.001 0.2 "ind" "fg" "t" 0.58641253917934 53.0235528316871 -16.2052807830721 17.3781058614308 365
15 10 80 0.6 1 0.001 0.2 "ind" "mbn" "z" 0.58641253917934 57.9362607961059 -14.3320243787165 15.5048494570751 365
15 10 80 0.6 1 0.001 0.2 "ind" "mbn" "t" 0.58641253917934 57.9362607961059 -16.9659391850404 18.1387642633991 365
15 10 80 0.6 1 0.001 0.2 "exc" "standard" "z" 0.698904008151762 35.9866652669119 -11.0587017309835 12.456509747287 365
15 10 80 0.6 1 0.001 0.2 "exc" "md" "z" 0.698904008151762 58.6990552933568 -14.3174205662265 15.7152285825301 365
15 10 80 0.6 1 0.001 0.2 "exc" "md" "t" 0.698904008151762 58.6990552933568 -16.9686178632822 18.3664258795857 365
15 10 80 0.6 1 0.001 0.2 "exc" "kc" "z" 0.698904008151762 45.8237994087146 -12.5687347582725 13.9665427745761 365
15 10 80 0.6 1 0.001 0.2 "exc" "kc" "t" 0.698904008151762 45.8237994087146 -14.9111939840057 16.3090020003092 365
15 10 80 0.6 1 0.001 0.2 "exc" "fg" "z" 0.698904008151762 49.2139796266136 -13.0507678475005 14.448575863804 365
15 10 80 0.6 1 0.001 0.2 "exc" "fg" "t" 0.698904008151762 49.2139796266136 -15.4783321078859 16.8761401241894 365
15 10 80 0.6 1 0.001 0.2 "exc" "mbn" "z" 0.698904008151762 50.9284859865024 -13.2882215620806 14.6860295783841 365
15 10 80 0.6 1 0.001 0.2 "exc" "mbn" "t" 0.698904008151762 50.9284859865024 -15.7577093066816 17.1555173229851 365
4 10 80 0.6 1 0.001 0.2 "ind" "standard" "z" 2.76498841562747 43.3782292789394 -10.143755965205 15.6737327964599 365
4 10 80 0.6 1 0.001 0.2 "ind" "md" "z" 2.76498841562747 88.1901801823166 -15.6409602303936 21.1709370616485 365
4 10 80 0.6 1 0.001 0.2 "ind" "md" "t" 2.76498841562747 88.1901801823166 -18.8906103733679 24.4205872046228 365
4 10 80 0.6 1 0.001 0.2 "ind" "kc" "z" 2.76498841562747 61.2790407862177 -12.5777920283433 18.1077688595982 365
4 10 80 0.6 1 0.001 0.2 "ind" "kc" "t" 2.76498841562747 61.2790407862177 -15.2866265264853 20.8166033577402 365
4 10 80 0.6 1 0.001 0.2 "ind" "fg" "z" 2.76498841562747 83.944184209287 -15.1924091373794 20.7223859686344 365
4 10 80 0.6 1 0.001 0.2 "ind" "fg" "t" 2.76498841562747 83.944184209287 -18.3628656374952 23.8928424687502 365
4 10 80 0.6 1 0.001 0.2 "ind" "mbn" "z" 2.76498841562747 62.7609563963149 -12.7622015923496 18.2921784236046 365
4 10 80 0.6 1 0.001 0.2 "ind" "mbn" "t" 2.76498841562747 62.7609563963149 -15.503594399632 21.033571230887 365
4 10 80 0.6 1 0.001 0.2 "exc" "standard" "z" 2.05011170788545 43.6004732215856 -10.8916587445487 14.9918821603196 365
4 10 80 0.6 1 0.001 0.2 "exc" "md" "z" 2.05011170788545 97.0394869236798 -17.2572235043752 21.3574469201461 365
4 10 80 0.6 1 0.001 0.2 "exc" "md" "t" 2.05011170788545 97.0394869236798 -20.6660173589935 24.7662407747644 365
4 10 80 0.6 1 0.001 0.2 "exc" "kc" "z" 2.05011170788545 64.0737604329103 -13.6386330535684 17.7388564693393 365
4 10 80 0.6 1 0.001 0.2 "exc" "kc" "t" 2.05011170788545 64.0737604329103 -16.4085490539679 20.5087724697388 365
4 10 80 0.6 1 0.001 0.2 "exc" "fg" "z" 2.05011170788545 93.3764106818457 -16.8893084642986 20.9895318800695 365
4 10 80 0.6 1 0.001 0.2 "exc" "fg" "t" 2.05011170788545 93.3764106818457 -20.2331453212863 24.3333687370572 365
4 10 80 0.6 1 0.001 0.2 "exc" "mbn" "z" 2.05011170788545 60.7705419808696 -13.2288782630116 17.3291016787825 365
4 10 80 0.6 1 0.001 0.2 "exc" "mbn" "t" 2.05011170788545 60.7705419808696 -15.9264502761859 20.0266736919568 365
16 10 80 0.6 1 0.001 0.2 "ind" "standard" "z" -2.91948499769584 56.8008181675702 -17.6910117966579 11.8520418012663 365
16 10 80 0.6 1 0.001 0.2 "ind" "md" "z" -2.91948499769584 107.508675744864 -23.2416441039831 17.4026741085914 365
16 10 80 0.6 1 0.001 0.2 "ind" "md" "t" -2.91948499769584 107.508675744864 -26.8296095229548 20.9906395275631 365
16 10 80 0.6 1 0.001 0.2 "ind" "kc" "z" -2.91948499769584 77.0585854868135 -20.1246407054635 14.2856707100719 365
16 10 80 0.6 1 0.001 0.2 "ind" "kc" "t" -2.91948499769584 77.0585854868135 -23.1622856419406 17.3233156465489 365
16 10 80 0.6 1 0.001 0.2 "ind" "fg" "z" -2.91948499769584 82.7718821511748 -20.7510518608485 14.9120818654568 365
16 10 80 0.6 1 0.001 0.2 "ind" "fg" "t" -2.91948499769584 82.7718821511748 -23.899292406376 18.0603224109843 365
16 10 80 0.6 1 0.001 0.2 "ind" "mbn" "z" -2.91948499769584 77.7889544365804 -20.2059845037547 14.3670145083631 365
16 10 80 0.6 1 0.001 0.2 "ind" "mbn" "t" -2.91948499769584 77.7889544365804 -23.2579910409746 17.4190210455829 365
16 10 80 0.6 1 0.001 0.2 "exc" "standard" "z" -2.24130577292416 55.0560199846196 -16.7841883483364 12.3015768024881 365
16 10 80 0.6 1 0.001 0.2 "exc" "md" "z" -2.24130577292416 109.621297839252 -22.7621659283984 18.2795543825501 365
16 10 80 0.6 1 0.001 0.2 "exc" "md" "t" -2.24130577292416 109.621297839252 -26.3852128802657 21.9026013344174 365
16 10 80 0.6 1 0.001 0.2 "exc" "kc" "z" -2.24130577292416 76.3835091681491 -19.3709323026987 14.8883207568504 365
16 10 80 0.6 1 0.001 0.2 "exc" "kc" "t" -2.24130577292416 76.3835091681491 -22.3952422348908 17.9126306890425 365
16 10 80 0.6 1 0.001 0.2 "exc" "fg" "z" -2.24130577292416 82.1939290414123 -20.0105092925994 15.5278977467511 365
16 10 80 0.6 1 0.001 0.2 "exc" "fg" "t" -2.24130577292416 82.1939290414123 -23.1477393190852 18.6651277732369 365
16 10 80 0.6 1 0.001 0.2 "exc" "mbn" "z" -2.24130577292416 74.6821817326734 -19.1790897414857 14.6964781956374 365
16 10 80 0.6 1 0.001 0.2 "exc" "mbn" "t" -2.24130577292416 74.6821817326734 -22.1695290366101 17.6869174907618 365
3 10 80 0.6 1 0.001 0.2 "ind" "standard" "z" 15.6482149754254 23.009295416946 6.24665867673825 25.0497712741126 365
3 10 80 0.6 1 0.001 0.2 "ind" "md" "z" 15.6482149754254 34.2980466900824 4.16977719016055 27.1266527606903 365
3 10 80 0.6 1 0.001 0.2 "ind" "md" "t" 15.6482149754254 34.2980466900824 2.14320916547626 29.1532207853745 365
3 10 80 0.6 1 0.001 0.2 "ind" "kc" "z" 15.6482149754254 28.0755501555925 5.26307800998094 26.0333519408699 365
3 10 80 0.6 1 0.001 0.2 "ind" "kc" "t" 15.6482149754254 28.0755501555925 3.42953699160699 27.8668929592438 365
3 10 80 0.6 1 0.001 0.2 "ind" "fg" "z" 15.6482149754254 28.7135541232823 5.14574213516722 26.1506878156836 365
3 10 80 0.6 1 0.001 0.2 "ind" "fg" "t" 15.6482149754254 28.7135541232823 3.29148495868061 28.0049449921702 365
3 10 80 0.6 1 0.001 0.2 "ind" "mbn" "z" 15.6482149754254 39.9606972070271 3.25840574497228 28.0380242058785 365
3 10 80 0.6 1 0.001 0.2 "ind" "mbn" "t" 15.6482149754254 39.9606972070271 1.07093113491626 30.2254988159346 365
3 10 80 0.6 1 0.001 0.2 "exc" "standard" "z" 16.3292326128974 7.10438707860771 11.1051336084045 21.5533316173902 365
3 10 80 0.6 1 0.001 0.2 "exc" "md" "z" 16.3292326128974 11.8703994931718 9.57648125969267 23.0819839661021 365
3 10 80 0.6 1 0.001 0.2 "exc" "md" "t" 16.3292326128974 11.8703994931718 8.38425369118018 24.2742115346146 365
3 10 80 0.6 1 0.001 0.2 "exc" "kc" "z" 16.3292326128974 8.64606060211624 10.5661183710785 22.0923468547162 365
3 10 80 0.6 1 0.001 0.2 "exc" "kc" "t" 16.3292326128974 8.64606060211624 9.54861553109572 23.109849694699 365
3 10 80 0.6 1 0.001 0.2 "exc" "fg" "z" 16.3292326128974 8.84109652327887 10.5014793387824 22.1569858870123 365
3 10 80 0.6 1 0.001 0.2 "exc" "fg" "t" 16.3292326128974 8.84109652327887 9.47256419701705 23.1859010287777 365
3 10 80 0.6 1 0.001 0.2 "exc" "mbn" "z" 16.3292326128974 14.306299305848 8.91592972822173 23.742535497573 365
3 10 80 0.6 1 0.001 0.2 "exc" "mbn" "t" 16.3292326128974 14.306299305848 7.60707891904022 25.0513863067545 365
2 10 80 0.6 1 0.001 0.2 "ind" "standard" "z" -0.00843519208234539 39.9516190501383 -12.3968370018868 12.3799666177221 365
2 10 80 0.6 1 0.001 0.2 "ind" "md" "z" -0.00843519208234539 65.8014544530635 -15.9072897930661 15.8904194089014 365
2 10 80 0.6 1 0.001 0.2 "ind" "md" "t" -0.00843519208234539 65.8014544530635 -18.7143015978276 18.6974312136629 365
2 10 80 0.6 1 0.001 0.2 "ind" "kc" "z" -0.00843519208234539 51.0556388166339 -14.0130106614899 13.9961402773252 365
2 10 80 0.6 1 0.001 0.2 "ind" "kc" "t" -0.00843519208234539 51.0556388166339 -16.4855792615491 16.4687088773844 365
2 10 80 0.6 1 0.001 0.2 "ind" "fg" "z" -0.00843519208234539 59.7745321056182 -15.1616989860639 15.1448286018992 365
2 10 80 0.6 1 0.001 0.2 "ind" "fg" "t" -0.00843519208234539 59.7745321056182 -17.8370734968628 17.8202031126981 365
2 10 80 0.6 1 0.001 0.2 "ind" "mbn" "z" -0.00843519208234539 59.1240517415327 -15.0790227744458 15.0621523902811 365
2 10 80 0.6 1 0.001 0.2 "ind" "mbn" "t" -0.00843519208234539 59.1240517415327 -17.7398004411444 17.7229300569797 365
2 10 80 0.6 1 0.001 0.2 "exc" "standard" "z" 1.3423177922353 35.5094035597994 -10.3370619653708 13.0216975498414 365
2 10 80 0.6 1 0.001 0.2 "exc" "md" "z" 1.3423177922353 62.7361104350533 -14.1817984404775 16.8664340249481 365
2 10 80 0.6 1 0.001 0.2 "exc" "md" "t" 1.3423177922353 62.7361104350533 -16.9226485593922 19.6072841438628 365
2 10 80 0.6 1 0.001 0.2 "exc" "kc" "z" 1.3423177922353 46.7897637069162 -12.0644323922847 14.7490679767553 365
2 10 80 0.6 1 0.001 0.2 "exc" "kc" "t" 1.3423177922353 46.7897637069162 -14.4314523428355 17.1160879273061 365
2 10 80 0.6 1 0.001 0.2 "exc" "fg" "z" 1.3423177922353 61.1176139226397 -13.9802406463187 16.6648762307893 365
2 10 80 0.6 1 0.001 0.2 "exc" "fg" "t" 1.3423177922353 61.1176139226397 -16.6855048616105 19.3701404460811 365
2 10 80 0.6 1 0.001 0.2 "exc" "mbn" "z" 1.3423177922353 49.110156960811 -12.3928431330244 15.077478717495 365
2 10 80 0.6 1 0.001 0.2 "exc" "mbn" "t" 1.3423177922353 49.110156960811 -14.8178454256497 17.5024810101203 365
9 10 80 0.6 1 0.001 0.2 "ind" "standard" "z" 2.35465941227017 66.672394457103 -13.6490669595483 18.3583857840886 365
9 10 80 0.6 1 0.001 0.2 "ind" "md" "z" 2.35465941227017 119.181621517427 -19.0423331624528 23.7516519869931 365
9 10 80 0.6 1 0.001 0.2 "ind" "md" "t" 2.35465941227017 119.181621517427 -22.8200650966718 27.5293839212121 365
9 10 80 0.6 1 0.001 0.2 "ind" "kc" "z" 2.35465941227017 88.8134344295798 -16.1162136338435 20.8255324583838 365
9 10 80 0.6 1 0.001 0.2 "ind" "kc" "t" 2.35465941227017 88.8134344295798 -19.3773264615237 24.0866452860641 365
9 10 80 0.6 1 0.001 0.2 "ind" "fg" "z" 2.35465941227017 113.103313504063 -18.4895657186843 23.1988845432246 365
9 10 80 0.6 1 0.001 0.2 "ind" "fg" "t" 2.35465941227017 113.103313504063 -22.1697041608633 26.8790229854036 365
9 10 80 0.6 1 0.001 0.2 "ind" "mbn" "z" 2.35465941227017 91.9337606671145 -16.4378858074245 21.1472046319649 365
9 10 80 0.6 1 0.001 0.2 "ind" "mbn" "t" 2.35465941227017 91.9337606671145 -19.7557912538919 24.4651100784322 365
9 10 80 0.6 1 0.001 0.2 "exc" "standard" "z" 2.317516334268 67.0406488785993 -13.7303462019003 18.3653788704363 365
9 10 80 0.6 1 0.001 0.2 "exc" "md" "z" 2.317516334268 116.497567964022 -18.8371665998912 23.4721992684272 365
9 10 80 0.6 1 0.001 0.2 "exc" "md" "t" 2.317516334268 116.497567964022 -22.5721177150801 27.2071503836161 365
9 10 80 0.6 1 0.001 0.2 "exc" "kc" "z" 2.317516334268 88.1355401091588 -16.0827295328113 20.7177622013473 365
9 10 80 0.6 1 0.001 0.2 "exc" "kc" "t" 2.317516334268 88.1355401091588 -19.3313728254048 23.9664054939408 365
9 10 80 0.6 1 0.001 0.2 "exc" "fg" "z" 2.317516334268 105.863588032697 -17.8485594872331 22.4835921557691 365
9 10 80 0.6 1 0.001 0.2 "exc" "fg" "t" 2.317516334268 105.863588032697 -21.4089677246395 26.0440003931755 365
9 10 80 0.6 1 0.001 0.2 "exc" "mbn" "z" 2.317516334268 92.9473091330734 -16.5783366639173 21.2133693324533 365
9 10 80 0.6 1 0.001 0.2 "exc" "mbn" "t" 2.317516334268 92.9473091330734 -19.9144815471884 24.5495142157244 365
14 10 80 0.6 1 0.001 0.2 "ind" "standard" "z" -1.09337385152075 85.5936397625764 -19.2263394793838 17.0395917763424 365
14 10 80 0.6 1 0.001 0.2 "ind" "md" "z" -1.09337385152075 141.498626525638 -24.4077716988385 22.221023995797 365
14 10 80 0.6 1 0.001 0.2 "ind" "md" "t" -1.09337385152075 141.498626525638 -28.5240298583588 26.3372821553173 365
14 10 80 0.6 1 0.001 0.2 "ind" "kc" "z" -1.09337385152075 109.448290991541 -21.5980343666172 19.4112866635757 365
14 10 80 0.6 1 0.001 0.2 "ind" "kc" "t" -1.09337385152075 109.448290991541 -25.2182212016449 23.0314734986034 365
14 10 80 0.6 1 0.001 0.2 "ind" "fg" "z" -1.09337385152075 120.92730732107 -22.6465005706609 20.4597528676194 365
14 10 80 0.6 1 0.001 0.2 "ind" "fg" "t" -1.09337385152075 120.92730732107 -26.4517986659339 24.2650509628924 365
14 10 80 0.6 1 0.001 0.2 "ind" "mbn" "z" -1.09337385152075 116.615371116572 -22.2587499645095 20.072002261468 365
14 10 80 0.6 1 0.001 0.2 "ind" "mbn" "t" -1.09337385152075 116.615371116572 -25.9955890068453 23.8088413038038 365
14 10 80 0.6 1 0.001 0.2 "exc" "standard" "z" 0.54369442207681 98.6708342637041 -18.925253845037 20.0126426891906 365
14 10 80 0.6 1 0.001 0.2 "exc" "md" "z" 0.54369442207681 156.32110918918 -23.9614296085308 25.0488184526845 365
14 10 80 0.6 1 0.001 0.2 "exc" "md" "t" 0.54369442207681 156.32110918918 -28.2879156452547 29.3753044894083 365
14 10 80 0.6 1 0.001 0.2 "exc" "kc" "z" 0.54369442207681 123.902133221545 -21.2729263649911 22.3603152091447 365
14 10 80 0.6 1 0.001 0.2 "exc" "kc" "t" 0.54369442207681 123.902133221545 -25.1247454819176 26.2121343260712 365
14 10 80 0.6 1 0.001 0.2 "exc" "fg" "z" 0.54369442207681 137.573098579115 -22.4450287487947 23.5324175929483 365
14 10 80 0.6 1 0.001 0.2 "exc" "fg" "t" 0.54369442207681 137.573098579115 -26.5037876302701 27.5911764744237 365
14 10 80 0.6 1 0.001 0.2 "exc" "mbn" "z" 0.54369442207681 134.246396627927 -22.1653787530387 23.2527675971923 365
14 10 80 0.6 1 0.001 0.2 "exc" "mbn" "t" 0.54369442207681 134.246396627927 -26.1747642136615 27.2621530578152 365
31 10 80 0.6 1 0.001 0.2 "ind" "standard" "z" -22.3149228278137 90.6610909720366 -40.9769389999287 -3.65290665569864 365
